nume,predictii_pret
Renault Espace Energy dCi 160 EDC Intens,13975.484304080412
Land Rover Range Rover Evoque,15851.352667060373
Toyota C-HR,25336.190438647074
Volvo XC 90 B5 D AWD Geartronic Inscription,25044.233702283444
Skoda Octavia 2.0 TDI ELEGANCE,8882.609334142904
Hyundai I30 Kombi 1.6 CRDI DCT Style,15058.129833331603
Fiat Tipo 1.0 Final City Life,17397.708904086496
Renault Megane dCi 110 FAP LIMITED,7755.780808032659
Hyundai I30,4474.935084985218
BMW Seria 7 740e iPerformance,32358.11040116777
Mercedes-Benz GLE Coupe 350 d 4MATIC,46342.53614382791
Mercedes-Benz CLS 450 4Matic 9G-TRONIC AMG Line,76211.6884619506
Mercedes-Benz CLA 200 7G-DCT AMG Line,36324.513149278646
Mercedes-Benz GLA 220 4Matic 8G-DCT AMG Line Advanced Plus,52769.07589895845
BMW Seria 8 840d xDrive,61930.327982965544
Hyundai KONA,13344.677910747172
Audi Q7 3.0 TDI Quattro Tiptronic,29306.09774931842
BMW X6 xDrive40d AT MHEV,104443.83688819503
Volkswagen Touareg 3.0 V6 TDI DPF Aut.,8121.836086405053
Mercedes-Benz E 200 d Aut.,26566.882491273747
Dacia Duster 1.5 dCi 4x4 Laureate,8764.907595944847
Dacia Duster 1.5 dCi 4x4 Prestige,7420.152967777004
Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC AMG Line,35060.754082231186
Renault Espace Energy dCi 160 EDC Intens,14154.406786025573
BMW Seria 3 320d,9986.906065447654
BMW X3 xDrive20d,23145.728371072295
Audi Q5,39606.71031662814
Skoda Octavia 1.6 TDI ELEGANCE,9781.886975973317
BMW Seria 3,9424.229070489386
Mercedes-Benz A 200 d Aut.,37421.101947616866
Opel Grandland X 1.2 Turbo START/STOP Innovation Aut.,14978.354012815806
Fiat 500 Mild Hybrid 1.0 Dolcevita,14150.630714030523
BMW Seria 5 545e xDrive,81828.57966372088
Skoda Fabia Combi 1.0 TSI Ambition,10020.729605559993
Audi A5 Sportback 2.0 TDI ultra S tronic,17049.41732975682
Volkswagen T-ROC 1.0 TSI,13994.268618492517
Renault Clio V 1.0 TCe 140 RS Line,21155.55874173891
Volkswagen Passat 1.6 TDI (BlueMotion Technology) Comfortline,10663.419548085574
Nissan Qashqai 1.6 DCI Start/Stop 4X4-i Tekna,10869.596881649508
Peugeot 308 1.4E Confort,3965.835870996934
Hyundai KONA Electric 136CP Highway,30226.544478959855
Volkswagen Golf,3191.7672590705647
Fiat Punto 1.3 16V Multijet Easy Start&Stopp,7118.644812231306
Dacia Duster Blue dCi 115 4X4 Expression,26231.83167370048
Mercedes-Benz GLA 250 e 8G-DCT AMG Line,46749.16773396772
Mercedes-Benz S 320 CDI 4Matic DPF 7G-TRONIC,9301.80585372702
Mercedes-Benz E 220 d T 9G-TRONIC AMG Line,23914.008904363272
BMW Seria 7 740d xDrive,51312.94528492066
Mercedes-Benz EQV 300 extralang,91711.94667921604
BMW X6 xDrive30d AT MHEV,75153.45238929338
Volvo XC 60 D5 AWD Geartronic RDesign,27253.914421567188
Skoda Superb 2.0 TDI DSG Sportline,23627.387314891854
Mercedes-Benz CLA 200 7G-DCT AMG Line,20133.688109363382
Toyota C-HR,20088.110687956385
Skoda Octavia 2.0 TDI DSG Style,19318.74671259385
Audi A6 Allroad quattro 2.7 TDI tiptronic DPF,7392.361637417904
BMW Seria 6 640d,15136.320607030453
Volvo XC 90 D5 AWD Geartronic Momentum,22715.491370519874
Lexus Seria NX 300h Business,19367.86251233266
Mercedes-Benz AMG,163531.18344424487
Seat Leon 2.0 TDI DPF FR,8395.320331110946
Mercedes-Benz E 200 CDI BlueEfficiency Aut.,7282.950580699384
Skoda Superb,38271.15343480629
Ford Focus 1.6 TDCi DPF Start-Stopp-System Titanium,5493.2694074304145
Hyundai Santa Fe,4491.202834440579
Toyota RAV4,43167.58765784586
Mercedes-Benz CLA,25202.306460301315
Ford Kuga 2.0 TDCi 4WD Powershift Vignale,21562.14445536142
Skoda Superb 2.0 TDI DSG Ambition,16564.76813517457
BMW X5,37191.93296772392
Audi Q5,14338.824807656145
Renault Grand Scenic,23893.294238785747
Volkswagen ARTEON 1.5 TSI ACT OPF DSG Elegance,17794.25525985254
Peugeot 2008 1.6 e-HDi FAP STT ETG Allure Aut.,9715.941838052455
Toyota Corolla Sedan 1.6 CVT Business,18049.967863928552
Kia Sorento,12862.076931765996
Volkswagen Polo 1.2 TSI DSG Highline,8092.239861759641
Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC AMG Line Advanced,67909.44531432498
Mercedes-Benz E 220 d Aut.,21766.18573119061
Nissan Qashqai+2 2.0 dCi DPF Acenta,6593.628970377684
Peugeot 508 BlueHDi 130 EAT8 Allure Pack,12897.91359783784
Renault Talisman Grandtour BLUE dCi 150 LIMITED,14199.269965943618
Ford Focus 2.0 TDCi Ghia,1361.79708036586
Audi A4,41588.45596408146
Land Rover Range Rover Evoque 2.2 SD4 Dynamic,12029.51127832278
Volkswagen Passat CC 1.8 TSI,7281.130696762809
Ford Transit Custom 310 L2H2 PKW VA Trend,13782.105944761135
Skoda Fabia 1.4 TDI PD Combi Ambiente,2953.7772487993307
Audi A6,39847.58708547278
Skoda Karoq 1.5 TSI DSG Ambition,35980.01564153917
Mercedes-Benz Vito 114 CDI (BlueTEC) Tourer Lang PRO,33522.484143053276
Renault Grand Scenic ENERGY dCi 110 LIMITED,11700.24851582483
Volvo XC 60 D5 AWD M6 Basic,8985.130272366285
Mercedes-Benz E 220 d Aut.,31406.55403012211
Volkswagen ID. Buzz Pro,43190.93454476927
Audi Q5 2.0 TFSI Quattro S-Tronic,16181.317671568126
Toyota Aygo X 1.0l CVT Colour Edition,17911.8424688394
BMW Seria 5,30358.311848012207
Lexus Seria RX,82940.60228389886
Renault Megane,17060.634756976917
Skoda Fabia 1.4 Elegance,2118.2087477631385
Hyundai I30 1.0 T-GDI 120CP 5DR M/T Highway,10572.580180836921
Hyundai Santa Fe 2.2 CRDi 4WD 8AT Luxury,28077.39443684576
BMW X1 sDrive18i,29921.99655789132
Skoda Karoq 1.6 TDI DSG Style,19609.070312402295
Suzuki Vitara 1.4 Boosterjet Mild-Hybrid 6AT Spirit,22885.29062709928
Hyundai Bayon 1.0 T-GDi M-Hybrid 100 CP 7DCT Led Line,21857.674924208844
Ford Kuga 2.0 TDCi Titanium,6526.778972451495
Volkswagen Golf Plus 1.6 Comfortline,2704.342241481018
Porsche 911 GT3 PDK,185990.03922780347
Toyota Camry 2.5 Hybrid Exclusive,37686.85089584875
Volkswagen Passat 1.5 TSI ACT DSG Trendline,22145.81373739649
Audi S3 TFSI quattro S tronic,41728.635966647875
Volkswagen Polo 1.6 TDI Comfortline,14383.949715837167
Nissan X-Trail 1.6 DCi ALL-MODE 4x4i Tekna,11975.700356343452
Renault Megane ENERGY dCi 110 Start & Stop Bose Edition,6139.010411696016
Dacia Duster 1.5 Blue dCi 4WD Comfort,13883.19147289074
Porsche Cayenne E-Hybrid Tiptronic S Platinum Edition,83600.76716838677
Audi A3 Sportback 1.6 TDI S tronic,23738.245596638877
Seat Leon 1.4 TSI Sport,5086.221836329531
BMW Seria 2 214d Active Tourer,9489.210198215647
Volkswagen Transporter,43666.29238146819
Renault Megane,14437.427088997114
Mercedes-Benz GL 350 4MATIC BlueTec Aut.,19281.629286584834
Ford Fiesta 1.5 TDCi Trend,9903.03996436523
Porsche Cayenne S Diesel Tiptronic S,35272.38052363799
Seat Leon ST 2.0 TSI Start&Stop 4Drive DSG Cupra 300,26462.297390084692
Mercedes-Benz GLE Coupe 400 4MATIC,37107.37147082031
SsangYong Musso,50555.10886506571
Audi A3,8266.882938100678
Honda CR-V 2.2 i-DTEC,7510.15972922999
Volkswagen Polo 1.4 DSG Comfortline,7775.597241329803
Seat Leon ST 2.0 TDI Start&Stop 4Drive DSG X-Perience,12927.472865574324
BMW X4 M M40i,64233.54890792306
BMW Seria 5 520d Aut. Luxury Line,28633.418578763336
Dacia Lodgy 1.5 Blue dCi Laureate,9293.560955017425
Toyota Corolla 1.8 Hybrid,19703.089851405297
Skoda Kodiaq 2.0 TDI 4X4 DSG Style,50638.11204692106
Hyundai I30 1.4 100CP 5DR M/T Comfort,9507.822292004594
BMW X3 xDrive30d,20169.20333469128
Smart Fortwo 60 kW electric drive,23210.412397467782
Audi A6 3.0 TDI DPF quattro Tip Avant,7721.181000663806
Mercedes-Benz V 300 d Combi Lung 237 CP AWD 9AT EXCLUSIVE,121848.53193312758
Nissan Navara 2.3 dCi Bi Turbo Double Cab Tekna,23327.89351999664
Land Rover Range Rover Evoque,15270.307284273935
Volkswagen Caddy 2.0 TDI,9732.970922326349
Ford Puma 1.0 EcoBoost mHEV ST Line X,21128.16029276875
Mitsubishi Colt,33388.89902734022
BMW X4,38013.41247569786
Mitsubishi Outlander 2.2 DI-D 4WD TC-SST Instyle,7914.270410141787
Mercedes-Benz GLC 220 d 4Matic 9G-TRONIC AMG Line Plus,37059.609333751716
Skoda Superb 2.0 TDI DSG Exclusive,6957.1187640284625
BMW X5 xDrive30d,18881.821005879257
BMW Seria 1 116d Edition M Sport Shadow,9710.564430670242
Volvo S90 B5 D AWD Geartronic RDesign,25540.152816532995
Skoda Superb 2.0 TDI DSG 4X4 Laurin & Klement,18175.604520312765
Skoda Octavia 2.0 TDI Ambiente DSG,6953.598436329359
Volvo XC 40 D3 Momentum Pro,24523.63227925003
Opel Corsa 1.3 CDTI Cosmo,3984.5965041740124
Mercedes-Benz GLA 250 Aut.,30666.921054846254
Mazda CX-5 e-SKYACTIV G194 AT AWD MHEV Exclusive-Line,43866.28141877172
Ford Kuga,36390.570116402065
Ford Focus,15275.741208333055
Honda Accord 2.0i MT Elegance,8034.426954930811
Opel Vivaro 1.6 CDTI Crew Van L1H1 2.9 t,22555.633022520124
Renault Talisman Grandtour ENERGY dCi 110 LIFE,7778.086678657546
Nissan Qashqai 1.6 DCI Start/Stop X-TRONIC Tekna,16697.443568732917
Hyundai KONA 1.0 T-GDI 120 CP 6MT 2WD Highway,18002.202351075044
BMW Seria 3 320d Aut. M Sport,35644.86076437386
Opel Astra 1.4 Caravan Edition,3271.727885994804
Land Rover Range Rover,16402.16626981646
Volkswagen Passat 2.0 TDI DSG Highline,19636.467741403136
BMW X4 xDrive20d Aut. M Sport,18891.094109204983
Mercedes-Benz GLE 450 MHEV 4MATIC,105280.72781302777
Peugeot 3008 1.6 HDI FAP STT ETG Active,9573.208525932418
Nissan Qashqai 1.6 DCI Start/Stop 360,11428.044392527592
Jeep Grand Cherokee,16109.91521403704
Volkswagen Golf Plus 1.4 Trendline,4913.182107535814
Hyundai IONIQ Hybrid 1.6 GDI Premium,15156.549645877674
Ford Focus 1.5 TDCi Trend,8003.528493715413
Mini Countryman Cooper S ALL4,7452.550680855899
Skoda Superb Combi 1.5 TSI DSG Ambition,15953.680493452299
Mercedes-Benz GLA 220 CDI 4Matic 7G-DCT AMG Line,17296.522566929718
Audi Q5 2.0 40 TDI quattro S tronic Design,27738.80536748577
Mercedes-Benz GLC Coupe 220 d 4MATIC,50418.75542504548
BMW Seria 5,15223.248721739094
Land Rover Discovery Sport 2.0 l TD4 HSE Aut.,16943.2144798845
Mercedes-Benz C,23080.61666106878
Mercedes-Benz GLE Coupe,63671.69804413989
Opel Insignia 1.6 CDTI ECOTEC Active Aut.,14990.72336381169
Volvo XC 60,42009.63472843944
Skoda Octavia 1.6 TDI AMBITION DSG,10925.902357986488
Volkswagen Golf GTE,19750.69449775183
Ford Raptor,51674.19337933162
Hyundai I30 blue 1.6 CRDi Style,6713.096452701999
Skoda RAPID 1.0 TSI Style,8601.98020569278
Kia Sportage 1.6 DSL 7DCT HP 4x2 Plus,20998.67873255358
Audi Q5 2.0 TDI Quattro Stronic,15098.517356497881
Skoda Fabia,10042.01803117064
Skoda Scala 1.6 TDI DSG Ambition,17137.400944019817
Volkswagen Transporter,40558.947410528905
Audi A6 Avant 2.0 TDI ultra,10575.766367431388
Volkswagen ARTEON 2.0 TDI DSG 4Motion R-Line,22020.419409424114
Mercedes-Benz GLE Coupe AMG 53 MHEV 4MATIC+,75003.37066865154
Skoda Citigo 1.0 MPI Ambition,7469.3023267794
BMW Seria 5 520d,9242.887627472046
Skoda RAPID 1.4 TDI Ambition,9612.346097768386
Volkswagen Passat Variant 2.0 TDI (BlueMotion Technology) Comfortline,14624.934413444846
Skoda RAPID 1.2 TSI (Green tec) Ambition,8414.797254223535
BMW X6 xDrive40d,68943.46101564905
Mercedes-Benz AMG GT,209536.68228613219
Audi A4 2.0 TDI,8212.443627715431
BMW X1 xDrive20d AT MHEV,19667.620976453334
Skoda Octavia 1.2 TSI Classic DSG,6267.387373530252
BMW X1 xDrive18d Aut. Sport Line,14900.59935736202
Volkswagen Tiguan 1.5 TSI ACT DSG Comfortline,22386.026813597924
Lexus UX 250h (E-FOUR) F SPORT,30802.687822745313
Volvo XC 60 B4 MHEV AT AWD Ultimate Dark,60542.038326702546
Audi A6,30018.186137294088
Hyundai Tucson,33099.69782597522
Alfa Romeo Giulia 2.2 Diesel AT8 Super,15312.798277691196
Audi A6 Avant 3.0 TDI competition quattro tiptronic,26434.893356340544
Volvo XC 90 D4 Geartronic Momentum,30485.0752467909
Mazda MX-5 1.8i,4058.570494078941
Ford Fiesta,8969.122695198215
Land Rover Discovery,36532.72350934142
Seat Altea,3560.533815888934
BMW X3 xDrive20d AT xLine,27197.638497307413
BMW X6 xDrive40d,23876.54284800158
Opel Grandland X 1.2 Turbo ecoTEC START/STOP Design Line,13308.336143694341
Audi A4 Avant 2.0 35 TFSI S tronic Basic,26337.945678536355
Volkswagen Passat Variant 1.9 TDI Comfortline,2978.579184181927
Volkswagen Passat Variant 2.0 TDI DPF Comfortline,5447.839594010505
Honda Civic 2.0 VTEC Turbo Type R,79548.64316188447
Skoda Superb 2.0 TDI DSG Ambition,17137.029775149327
Dacia Dokker dCi 90 Laureate,13235.513208642229
Audi Q3,31661.77302860103
Hyundai Tucson blue 1.7 CRDi 2WD DCT Premium,15662.150282148808
Ford Ranger Pick-Up 3.0 EcoBoost 288 CP 4x4 Cabina Dubla Raptor Aut.,64664.240161612994
Volkswagen Passat Variant 2.0 TDI DSG Highline,22245.278473495284
Opel Insignia Grand Sport 1.5 Turbo Start/Stop Aut. Edition,15863.899607308285
BMW X1 xDrive18d,14239.87297692272
Volvo XC 60,38109.73712657156
Bentley Continental New GT V8 Mulliner,286630.76841068314
Toyota Land Cruiser,13013.022223474229
Jeep Grand Cherokee,9563.341051045032
Dacia Jogger 5 locuri Hybrid 140 Expression,29896.18581578563
Mercedes-Benz GLE Coupe,75471.72588807193
Volvo XC 60 D3 AWD Aut. Ocean Race,11643.217680076254
Audi A6 Avant 2.0 45 TFSI quattro S tronic Design,28476.24529086986
Ford Kuga 2.0L TDCi DPF Titanium,7602.438035418742
BMW X3,11007.787959603033
Land Rover Freelander 2 2.2 SD4 HSE,15771.016359093835
Renault Arkana 140 EDC Intens,20347.08312531249
Dacia Duster TCe 125 4x2 Blackshadow,10652.343643247488
Nissan Qashqai,14633.622970304883
Volkswagen Polo 1.4 TDI Lounge,7430.00050895409
Skoda RAPID 1.0 TSI Ambition,8979.258601911222
Mercedes-Benz GLC 200 4MATIC,36043.08840679054
Hyundai i20 1.2 L 84CP 5DR Comfort,11438.075708824232
Porsche Panamera,43537.57346141016
Volkswagen Golf 1.6 TDI BlueMotion Technology DPF Highline,6708.413807052917
Skoda Octavia Combi 1.0 TSI DSG Style,11205.200162530065
Skoda Superb 2.0 TSI DSG L&K,19900.52049157542
Audi A4 Avant 1.8 TFSI Multitronic,9658.196171212896
Mercedes-Benz GLC Coupe AMG 43 4MATIC,56445.45817624486
Ford Fiesta,8423.69472217022
BMW Seria 3,11194.199135603623
Dacia Duster 1.6 4x4 Prestige,9405.274771206346
Volkswagen Polo 1.0 Trendline,9030.235920173862
Dacia Logan 1.2 16V Laureate,4655.210797837076
Audi A6 2.0 TDI DPF Multitronic Avant,8604.682560892095
Toyota BZ4X 160 KW AWD (4x4) Dynamic,41719.63603719937
Mercedes-Benz E 220 CDI DPF Cabrio BlueEFFICIENCY 7G-TRONIC Avantgarde,13044.363436642361
BMW Seria 3 318d,4358.58420282634
Mercedes-Benz GLA 200 d 4MATIC Aut.,39002.15079696591
Mercedes-Benz E 220 d T 9G-TRONIC Avantgarde,21790.464063737538
Dacia Logan MCV 0.9 TCe SL Prestige PLUS,7910.653475183637
Skoda Karoq,25904.729900568644
Nissan X-Trail,15296.432690286258
Volkswagen Passat,51243.35427878267
Skoda Superb 1.6 TDI Elegance,7119.809288491801
Skoda Octavia Combi 1.4 TSI Business,4716.413702469459
Volkswagen Tiguan,17244.86866432428
Volkswagen Passat,30342.97240201736
Audi A6 Allroad 3.0 TDI DPF Quattro,6717.414512123986
Mercedes-Benz V 250 BlueTEC Aut. Long Avantgarde,32506.70342551415
Hyundai IONIQ Plug-in-Hybrid 1.6 GDI Premium,18097.366235036992
Renault Megane Megan E-TECH EV60 super charge techno,57228.26224799674
Ford Transit 280 M TDCi VA Trend,8374.586998907178
BMW X3 xDrive20d Aut. M Sport,29519.858542983064
Mercedes-Benz B 180 CDI,3843.9907761912914
Volkswagen Touareg V6 TDI 4MOTION Elegance,34050.97701431382
BMW Seria 5,6550.101782695565
Renault Captur ENERGY TCe Intens,11044.204582766399
BMW Seria 3 320d xDrive AT,32974.46302001412
BMW Seria 7 740d xDrive,43797.90132407878
Hyundai Santa Fe 2.2 CRDi 4WD AT Luxury Pack,20435.64583620687
Porsche Panamera Diesel Platinum Edition,22851.400104616838
Nissan Qashqai 1.5 dCi TEKNA,11031.08328732573
BMW Seria 5,7674.037378353503
Toyota Aygo X 1.0l MT Dynamic,15247.562941135102
Mercedes-Benz A 200 d 8G-DCT,39277.40586511768
Toyota Corolla 1.8 HSD Dynamic,16444.585228932
Lexus Seria NX 300h E-FOUR F SPORT,25974.18942573889
Mini Cooper,10489.613277716153
Volvo XC 90,70672.8249342695
Volvo XC 40,45651.64109640965
Volkswagen Passat CC,11172.01291818594
Citroën C4 Picasso 1.6i THP Exclusive,9631.382982171568
Mercedes-Benz ML,28236.285763373166
Volkswagen Tiguan,12746.641473392894
BMW Seria 3 318i Touring,5265.870900225177
Opel Corsa 1.4i Cosmo,2179.55821661592
Toyota RAV4,54172.72882803062
Nissan Juke 1.2 DIG-T Tekna,10328.115575233986
Honda Civic,6565.259672885638
Hyundai ix35 2.0 CRDI 4WD Automatik Premium,13866.460520413042
Mercedes-Benz E 250 CDI BlueEfficiency Aut.,9986.416575936457
Renault Talisman ENERGY dCi 160 EDC INTENS,13057.327926329066
Nissan Qashqai 1.5 dCi TEKNA,11462.188651847464
Audi A8 55 TFSI quattro tiptronic,47856.62359162238
Volkswagen Passat,13378.430394069917
Volkswagen Touareg 3.0 V6 TDI 4Motion DPF Automatik R-Line,56748.543539141974
BMW X3 xDrive30d,25745.820868786148
Mercedes-Benz C 220 CDI BlueEFFICIENCY T-modell,10646.554453106626
Skoda Octavia 2.0 TDI STYLE DSG,13234.530847741895
Audi Q8 3.0 55 TFSI e quattro Tiptronic,80912.08058582537
Renault Megane ENERGY dCi 110 GT LINE,7091.5697182460335
Volkswagen Tiguan 1.4 TSI ACT (BlueMotion Technology) Trendline,14070.643870554235
BMW Seria 1 116i,3901.3850220354143
Opel Corsa 1.4 ECOTEC Enjoy,7752.623584487617
Audi A4 Avant 2.0 TDI ultra S tronic,12545.551934112096
Skoda Fabia,8324.156337286837
Seat Altea,3989.477580271619
Volkswagen Touran 1.9 TDI Conceptline,5767.098619995654
Dacia Duster 1.6 4x2 Laureate,11610.73208437468
Renault Clio (Energy) dCi 90 Bose Edition,5737.336686808752
Renault Clio dCi 75 Stop & Start Expression,10175.84223462739
Skoda Octavia Combi 2.0 TDI Elegance Automatic,3709.8076444984686
Dacia Logan,3578.4026941619472
BMW X1 xDrive18d Aut.,17105.430178789284
Ford Puma 1.0 EcoBoost Titanium,15559.206616640935
Ford Raptor,53212.554038669565
Ford Focus,15275.741208333055
BMW X6 M M50d,63432.24130067063
BMW Seria 5 535d xDrive AT,16072.349823095932
Audi Q8,59474.28694388548
Hyundai Elantra 1.6 l 123 CP CVT Highway,23081.294362701054
Renault Grand Scenic,15250.347334187045
Volvo XC 60 D4 AWD Inscription,31408.83252068604
Ford Kuga 2.0 TDCi 2x4 Titanium,8987.395458047238
Volkswagen Golf 1.6 TDI Trendline,11933.844109049916
BMW X4 xDrive20d Aut.,26032.191866278845
